index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_166,5.656527847217958e-06,0.0,0.0,4.214025507875974e-06,0.0,18.759570589384353,132.6887810818629,13,-51.95672660654621,-37.44600543604461,-116.17914860586089,-111.45070057216343,1.0,1.0,1.1722977921211717,0.8496961070519498,1.0479799683047866,1.1619197146420424
source_0829_133953_300_167,5.994527203266472e-06,0.0,0.0,5.96068187153076e-06,0.0,18.759570589384353,153.29091312391395,13,-53.09886394146468,-38.261970145002415,-116.65678170919088,-111.67065564700408,1.0,1.0,1.0236083336840913,1.324113630352538,0.9291904108048313,1.0050131269949123
source_0829_133953_300_168,3.6128110513994925e-05,0.0,0.0,1.8590332092283113e-05,0.0,17.163580639699056,119.52831595291465,12,-53.20127777091365,-37.839741092014535,-116.70144994735172,-111.55727473678756,1.0,1.0,1.204444442170764,0.9043260369068873,0.9476263487430517,0.9808094002252291
source_0829_133953_300_169,7.784641011049152e-06,0.0,0.0,7.755465875391998e-06,0.0,18.759570589384353,157.0403321981306,13,-53.04357741383205,-38.56925034085867,-116.63315049725269,-111.7542999306753,1.0,1.0,1.0160892457608388,1.0382937369737544,0.981741445392653,1.0119124034808091
source_0829_133953_300_17,4.001133318295265e-05,0.0,0.0,3.749969210098403e-05,0.0,18.759570589384353,148.53905682182406,13,-52.63553112739718,-37.86586069453037,-116.46037800883646,-111.56341730791493,1.0,1.0,1.0792640071836892,1.1980118898930252,0.9056585561005251,1.064957312172631
source_0829_133953_300_170,7.2869075017211804e-06,0.0,0.0,5.944166871940659e-06,0.0,18.759570589384353,138.72384760989797,13,-52.1407700971093,-37.50932298435654,-116.25465348099961,-111.4676291865943,1.0,1.0,1.1371059131986254,1.027532514539562,1.0485943514198943,1.1345393294096349
source_0829_133953_300_171,1.6336685006212773e-06,0.0,0.0,1.3631832399552124e-06,0.0,25.516202713087875,233.6723083044108,20,-53.299325391970285,-40.05382797747264,-116.74291761878469,-112.16607316217642,1.0,1.0,0.7866739925050941,0.6527129932449511,0.9682904565695523,0.9805537357958484
source_0829_133953_300_172,1.7092831629877378e-06,0.0,0.0,1.6735116702415453e-06,0.0,20.921848573623517,187.56308930711995,15,-53.77242061195205,-39.60740660391533,-116.9490696943914,-112.04133887812819,1.0,1.0,0.8609315225921159,1.1583432639139801,0.9723390062484861,0.9260770002386786
source_0829_133953_300_173,2.1937754672064568e-06,0.0,0.0,2.0527013044890907e-06,0.0,26.394535880289972,236.63368406758616,21,-53.64669921645501,-39.99494378029095,-116.89388664007355,-112.14970897232247,1.0,1.0,0.7400811750162152,1.2836200392894104,0.9529328705655595,0.9401199843810272
source_0829_133953_300_174,5.225138278297478e-06,0.0,0.0,4.457567838733745e-06,0.0,27.28186131815145,256.3685386581327,22,-52.50414147930393,-39.524970540268924,-116.40534996310171,-112.01683107905235,1.0,1.0,0.7208623459849746,1.1563821183863006,0.9232709056271572,1.0828617548492707
